iter	Logloss
0	0.6909860731
1	0.6878218229
2	0.6851088783
3	0.6824647959
4	0.6795112818
5	0.6771016146
6	0.6738352685
7	0.6718295152
8	0.669595861
9	0.6666497877
10	0.6643951646
11	0.6619829076
12	0.6596409563
13	0.657354384
14	0.6551189218
15	0.6530454302
16	0.6497813819
17	0.6471671375
18	0.6447794176
19	0.642356337
20	0.6394248944
21	0.6370102028
22	0.634408223
23	0.6323069057
24	0.6292091791
25	0.6263318209
26	0.6240239799
27	0.6215181003
28	0.6185213015
29	0.6168992009
30	0.6140262267
31	0.6115722977
32	0.6094128719
33	0.6071082723
34	0.6055193256
35	0.6028702533
36	0.6004624546
37	0.5989908741
38	0.5967306082
39	0.5947637978
40	0.5923078479
41	0.5906781615
42	0.5887509571
43	0.5867694095
44	0.5847917976
45	0.5825949556
46	0.5802710597
47	0.5785741087
48	0.5763404582
49	0.5735111343
50	0.5715123384
51	0.5691644297
52	0.5662106447
53	0.5647189939
54	0.5630413173
55	0.561091811
56	0.5585513875
57	0.5565144961
58	0.5545620001
59	0.5522825618
60	0.5500356467
61	0.5479359878
62	0.5455392417
63	0.5433029416
64	0.5412318776
65	0.5392975156
66	0.5376978225
67	0.5359193515
68	0.5333583137
69	0.5315228238
70	0.529548823
71	0.5272304095
72	0.525018952
73	0.5230326788
74	0.5215203478
75	0.5191956549
76	0.5165797339
77	0.5140754567
78	0.511973592
79	0.5104367039
80	0.5088114696
81	0.5066207238
82	0.5045363842
83	0.502908256
84	0.5010852912
85	0.4988485559
86	0.4967474932
87	0.4948754161
88	0.4928541609
89	0.4910979407
90	0.4888521667
91	0.4867474103
92	0.4845904671
93	0.4830859188
94	0.4810841181
95	0.4796057817
96	0.477927073
97	0.4763354475
98	0.4746314107
99	0.4731933696
100	0.4716647733
101	0.470037052
102	0.4678467276
103	0.4658219409
104	0.4640977666
105	0.4629387773
106	0.4613356011
107	0.4598346486
108	0.4584778994
109	0.4565875463
110	0.4551981411
111	0.4541507539
112	0.4522713971
113	0.451280152
114	0.4494500937
115	0.447764507
116	0.4463252063
117	0.4443791163
118	0.4419226733
119	0.4404669664
120	0.4390111627
121	0.4373407876
122	0.4360046335
123	0.4343142118
124	0.4331393761
125	0.4315135459
126	0.4306272701
127	0.4291019716
128	0.427652174
129	0.4258885243
130	0.4243223578
131	0.4224644588
132	0.4211848649
133	0.4196350158
134	0.418214319
135	0.4167789608
136	0.4158321405
137	0.4146371034
138	0.4133831732
139	0.411807304
140	0.4100258151
141	0.4088879046
142	0.4073616695
143	0.4061152087
144	0.4047035765
145	0.4033878185
146	0.4022343919
147	0.4011850377
148	0.3999392219
149	0.3980558853
150	0.3969281248
151	0.3953679376
152	0.3943675787
153	0.3934170406
154	0.3917796039
155	0.3905248054
156	0.3892951194
157	0.3881709737
158	0.3869101171
159	0.384925554
160	0.3836275549
161	0.382268746
162	0.381123322
163	0.3797692604
164	0.3786824473
165	0.3775868194
166	0.3767496207
167	0.3756119785
168	0.3743474369
169	0.3734513788
170	0.3721834771
171	0.370944908
172	0.3694618557
173	0.3683056335
174	0.3674098604
175	0.3661770186
176	0.3652932378
177	0.3643708151
178	0.3629318115
179	0.3617166608
180	0.3607027127
181	0.3597643812
182	0.3584937163
183	0.3576662065
184	0.356458159
185	0.3550191175
186	0.3540035501
187	0.3529564731
188	0.3518403887
189	0.3507655848
190	0.3495232595
191	0.3483462503
192	0.347482973
193	0.3463196659
194	0.345316306
195	0.3444971205
196	0.3434201325
197	0.3421499763
198	0.3409917735
199	0.3398647596
200	0.3389249767
201	0.338011601
202	0.3371838141
203	0.3364124541
204	0.3354725398
205	0.3346047244
206	0.3336654103
207	0.3328501289
208	0.3315489688
209	0.3304596627
210	0.3293830648
211	0.3284044449
212	0.3277258592
213	0.3266188622
214	0.3258347433
215	0.3247757711
216	0.3239727266
217	0.3232729853
218	0.3224336293
219	0.3218907709
220	0.3208257671
221	0.3198690237
222	0.3189363113
223	0.318168416
224	0.3173016728
225	0.3163487077
226	0.3156831079
227	0.3144577784
228	0.313461036
229	0.3124268356
230	0.3115663494
231	0.310661998
232	0.3099114598
233	0.3090993677
234	0.3085411901
235	0.3073952987
236	0.3066320059
237	0.3058131838
238	0.305131315
239	0.3042201405
240	0.3028715913
241	0.3020917866
242	0.3014834732
243	0.3006569702
244	0.2998004318
245	0.2988916461
246	0.2983996381
247	0.2976333744
248	0.297122763
249	0.2961635421
250	0.2954328439
251	0.2945936127
252	0.2934715412
253	0.2930148417
254	0.2924522827
255	0.2915017134
256	0.2909325544
257	0.2900577003
258	0.2895327659
259	0.2884169845
260	0.2875994456
261	0.2869438477
262	0.2862333598
263	0.2853426223
264	0.2844482792
265	0.2838584724
266	0.283185637
267	0.2821340428
268	0.281525205
269	0.2807987189
